drainage	station	latitude	longitude
ap	albany	31.5338	-84.1488
ap	carrollton	33.5972	-85.0805
ap	chipley	30.7806	-85.5503
ap	columbus	32.5161	-84.9422
ap	cuthbert	31.76722	-84.79306
ap	westpoint	32.879	-85.1809
ap	talbotton	32.6875	-84.5198
ap	wewahitchka	30.1191	-85.2041
sw	douglas	31.48889	-82.82056
sw	folkston	30.74	-82.1278
sw	homerville	31.0767	-82.8003
sw	jasper	30.5228	-82.9447
sw	lakecity	30.1852	-82.5941
sw	liveoak	30.2889	-82.965
sw	mayo	30.1063	-83.1819
sw	usher	29.4083	-82.8186
